Atom,Valence,Atomic weight,Melting point,First ionization energy,Atomic density,Electronegativity,Ionic radius XII,Ionic radius VI
H,1,1.008,13.99,1312,0.07,2.2,,
He,0,4.003,0.95,2372,0.145,,,
Li,1,6.941,453.65,513,0.534,0.98,0.92,0.76
Be,2,9.012,1560,899,1.85,1.57,,0.45
B,3,10.81,2349,801,2.08,2.04,,0.27
C,2,12.01,3915,1086,1.8,2.55,,
C,4,12.01,3915,1086,1.8,2.55,,0.16
N,2,14.01,63.15,1402,0.808,3.04,,
N,3,14.01,63.15,1402,0.808,3.04,,0.16
N,4,14.01,63.15,1402,0.808,3.04,,
N,5,14.01,63.15,1402,0.808,3.04,,0.13
O,-2,16,54.36,1314,1.141,3.44,,1.4
F,-1,19,53.48,1681,1.505,3.98,,1.33
F,7,19,53.48,1681,1.505,3.98,,0.08
Ne,0,20.18,24.56,2081,1.207,,,
Na,1,22.99,370.94,496,0.968,0.93,1.39,1.02
Mg,2,24.31,923,737.7,1.738,1.31,0.89,0.72
Al,3,26.98,933.47,578,2.7,1.61,,0.535
Si,2,28.09,1687,786,2.329,1.9,,
Si,4,28.09,1687,786,2.329,1.9,,0.4
P,3,30.97,317.3,1012,1.8,2.19,,0.44
P,5,30.97,317.3,1012,1.8,2.19,,0.38
S,-2,32.07,388.36,1000,2.7,2.58,,1.84
S,4,32.07,388.36,1000,2.7,2.58,,0.37
S,6,32.07,388.36,1000,2.7,2.58,,0.29
Cl,-1,35.45,171.6,1251,1.562,3.16,,1.81
Cl,1,35.45,171.6,1251,1.562,3.16,,
Cl,3,35.45,171.6,1251,1.562,3.16,,
Cl,5,35.45,171.6,1251,1.562,3.16,,
Cl,7,35.45,171.6,1251,1.562,3.16,,0.27
K,1,39.1,336.7,419,0.862,0.82,1.64,1.38
Ar,0,39.95,83.81,1521,1.395,,,
Ca,2,40.08,1115,590,1.55,1,1.34,1
Sc,3,44.96,1814,631,2.985,1.36,,0.745
Ti,2,47.87,1941,658,4.506,1.54,,0.86
Ti,3,47.87,1941,658,4.506,1.54,,0.67
Ti,4,47.87,1941,658,4.506,1.54,,0.605
V,2,50.94,2183,651,6,1.63,,0.79
V,3,50.94,2183,651,6,1.63,,0.64
V,4,50.94,2183,651,6,1.63,,0.58
V,5,50.94,2183,651,6,1.63,,0.54
Cr,2,52,2180,653,7.19,1.66,,0.73
Cr,3,52,2180,653,7.19,1.66,,0.615
Cr,4,52,2180,653,7.19,1.66,,0.55
Cr,5,52,2180,653,7.19,1.66,,0.49
Cr,6,52,2180,653,7.19,1.66,,0.44
Mn,2,54.94,1519,717,7.21,1.55,,0.67
Mn,3,54.94,1519,717,7.21,1.55,,0.58
Mn,4,54.94,1519,717,7.21,1.55,,0.53
Mn,6,54.94,1519,717,7.21,1.55,,
Mn,7,54.94,1519,717,7.21,1.55,,0.46
Fe,2,55.85,1811,759,7.874,1.83,,0.61
Fe,3,55.85,1811,759,7.874,1.83,,0.55
Fe,4,55.85,1811,759,7.874,1.83,,0.585
Fe,6,55.85,1811,759,7.874,1.83,,
Ni,2,58.69,1728,737,8.908,1.91,,0.69
Ni,3,58.69,1728,737,8.908,1.91,,0.56
Ni,4,58.69,1728,737,8.908,1.91,,0.48
Co,2,58.93,1768,758,8.9,1.88,,0.65
Co,3,58.93,1768,758,8.9,1.88,,0.545
Co,4,58.93,1768,758,8.9,1.88,,0.53
Cu,1,63.55,1357.77,745,8.96,1.9,,0.77
Cu,2,63.55,1357.77,745,8.96,1.9,,0.73
Cu,3,63.55,1357.77,745,8.96,1.9,,0.54
Zn,2,65.37,692.68,906,7.14,1.65,,0.74
Ga,3,69.72,302.914,579,5.91,1.81,,0.62
Ge,2,72.64,1211.4,762,5.323,2.01,,0.73
Ge,4,72.64,1211.4,762,5.323,2.01,,0.53
As,3,74.92,887,947,5.727,2.18,,0.58
As,5,74.92,887,947,5.727,2.18,,0.46
